id,cat,subcat,maintenance
CAT-001,Электроника,Ноутбуки,Активная
CAT-002,Электроника,Смартфоны,Активная
CAT-003,Электроника,Планшеты,Активная
CAT-004,Электроника,Наушники,Активная
CAT-005,Электроника,Аксессуары,Активная
CAT-006,Электроника,Гаджеты,Активная
CAT-007,Бытовая техника,Кухонная,Активная
CAT-008,Бытовая техника,Климатическая,Активная
CAT-009,Бытовая техника,Уборочная,Активная
CAT-010,Бытовая техника,Крупная,Активная
CAT-011,Одежда,Мужская,Сезонная
CAT-012,Одежда,Женская,Сезонная
CAT-013,Одежда,Верхняя,Сезонная
CAT-014,Одежда,Аксессуары,Сезонная
CAT-015,Книги,Программирование,Активная
CAT-016,Книги,Художественная,Пассивная
CAT-017,Книги,Научная,Пассивная
CAT-018,Мебель,Офисная,Активная
CAT-019,Мебель,Домашняя,Активная
CAT-020,Мебель,Кухонная,Активная
CAT-021,Электроника,Игровая,Активная
CAT-022,Электроника,Фото-видео,Активная
CAT-023,Бытовая техника,Здоровье,Активная
CAT-024,Одежда,Спортивная,Сезонная
CAT-025,Книги,Бизнес,Активная
CAT-026,Мебель,Спальня,Активная
CAT-027,Электроника,Сетевое,Активная
CAT-028,Бытовая техника,Красота,Активная
CAT-029,Одежда,Детская,Сезонная
CAT-030,Книги,Психология,Пассивная
CAT-031,Мебель,Гостиная,Активная
CAT-032,Электроника,Аудио,Активная
CAT-033,Бытовая техника,Приготовление пищи,Активная
CAT-034,Одежда,Домашняя,Сезонная
CAT-035,Книги,Саморазвитие,Активная
CAT-036,Мебель,Прихожая,Активная
CAT-037,Электроника,Хранение данных,Активная
CAT-038,Бытовая техника,Уход за одеждой,Активная
CAT-039,Одежда,Деловая,Сезонная
CAT-040,Книги,Детская,Пассивная
CAT-041,Мебель,Детская,Активная
CAT-042,Электроника,Периферия,Активная
CAT-043,Бытовая техника,Напитки,Активная
CAT-044,Одежда,Вечерняя,Сезонная
CAT-045,Книги,Научпоп,Активная
CAT-046,Мебель,Офисные аксессуары,Активная
CAT-047,Электроника,Умный дом,Активная
CAT-048,Бытовая техника,Готовка,Активная
CAT-049,Одежда,Пляжная,Сезонная
CAT-050,Книги,Фэнтези,Пассивная
